,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203493,00,0,9,5,21.1,2.3,5.1,0.457,1.3,3.6,0.375,0.4,0.6,0.8,0.6,1.6,2.1,1.1,0.4,0.1,0.4,1.4,6.4
0,203504,00,0,11,3,17.5,2.7,6.4,0.429,0.7,2.0,0.364,0.6,1.1,0.583,0.3,1.5,1.8,1.6,0.7,0.2,0.5,1.5,6.8
0,202692,00,0,22,0,18.5,3.5,9.0,0.391,0.9,2.8,0.323,2.1,2.6,0.807,0.9,2.5,3.4,1.8,0.4,0.2,0.8,1.4,10.0
0,202710,00,0,80,77,37.6,6.0,13.6,0.442,1.2,3.4,0.346,5.2,6.3,0.836,1.5,4.4,5.8,4.3,1.6,0.5,1.9,1.9,18.5
0,203484,00,0,30,30,30.5,3.7,8.9,0.418,2.0,5.5,0.37,1.1,1.3,0.821,0.4,2.1,2.5,1.5,1.1,0.2,0.6,2.1,10.6
0,1630267,00,0,10,9,27.0,2.9,7.4,0.392,1.9,4.8,0.396,1.6,1.9,0.842,0.7,2.3,3.0,4.1,1.4,0.4,1.5,3.5,9.3
0,1628427,00,0,5,0,4.2,0.6,0.6,1.0,0.2,0.2,1.0,0.8,1.0,0.8,0.0,0.6,0.6,0.2,0.2,0.2,0.2,0.0,2.2
0,203991,00,0,79,57,23.7,3.7,6.1,0.605,0.0,0.0,0.0,1.3,2.6,0.49,2.7,5.8,8.5,0.9,0.5,1.3,0.8,2.1,8.7
0,1628975,00,0,7,0,3.1,0.4,1.1,0.375,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.6,0.0,0.0,0.0,0.0,0.9
0,1627936,00,0,27,1,23.4,2.3,5.6,0.411,0.8,2.9,0.282,1.0,1.2,0.813,0.6,1.4,2.1,2.3,0.9,0.6,1.4,2.5,6.4
0,1629185,00,0,10,0,8.3,1.0,3.1,0.323,0.6,1.9,0.316,0.2,0.4,0.5,0.1,0.6,0.7,1.8,0.6,0.0,0.4,0.9,2.8
0,1629109,00,0,7,5,21.0,1.6,4.7,0.333,1.6,4.6,0.344,0.6,0.7,0.8,0.6,3.6,4.1,1.0,0.7,0.3,0.3,1.0,5.3
0,1629634,00,0,2,0,4.7,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,1.0
0,203903,00,0,37,0,21.2,4.0,10.4,0.387,1.7,5.2,0.323,1.1,1.1,0.952,0.5,2.0,2.4,1.2,0.6,0.2,1.2,1.4,10.8
0,1629651,00,0,12,0,10.8,1.2,2.4,0.483,0.0,0.0,0.0,0.2,0.3,0.667,1.2,1.6,2.8,0.6,0.3,1.0,0.3,1.7,2.5
0,1629599,00,0,13,0,1.8,0.2,0.5,0.429,0.1,0.2,0.5,0.2,0.2,0.667,0.0,0.2,0.2,0.4,0.2,0.0,0.1,0.0,0.7
0,1628381,00,0,18,18,32.0,5.6,10.1,0.549,1.1,3.1,0.357,1.7,2.0,0.833,2.0,6.7,8.7,0.9,0.4,0.6,1.3,3.3,13.9
0,1628380,00,0,20,0,17.2,2.6,5.6,0.468,0.5,1.8,0.286,1.2,1.5,0.793,1.0,2.5,3.5,1.0,0.5,1.2,1.1,3.2,6.9
0,201144,00,0,67,67,36.3,5.7,13.6,0.42,1.6,4.4,0.363,3.7,4.6,0.808,0.5,3.1,3.6,6.7,1.3,0.2,2.1,2.3,16.7
0,1626192,00,0,61,1,18.6,1.9,4.3,0.454,1.0,2.9,0.358,0.4,0.5,0.786,0.8,3.2,4.0,1.0,0.3,0.4,0.4,1.2,5.3
0,1629076,00,0,1,0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,202326,00,0,15,5,12.8,2.7,6.3,0.421,0.5,1.5,0.318,1.8,2.6,0.692,1.0,2.5,3.5,1.6,0.5,0.6,1.6,2.5,7.6
